Motorname,Alias,Direction,GearRatio,HomeDirectior,HomeHighSpeed,HomeLowSpeed,InitSpeed,JogHighSpeed,JogLowSpeed,Rate,SoftLimitN,SoftLimitP,Enable,ServoAlarmOn,Range,1P2P,SensorType,SimulateSpeed,CardModel,BoardID,Port,Acc,Dec,MotorKind,FlushPanel,HomeOrder,LimitLogic,In1Logic,HomeType
M01,MSortingArmX,1,0.5,0,10,1,10,10000,10,1500,-100,165000,1,1,50,1,1,10000,MC88X1,0,0,0.1,0.1,0,,,0,0,7
M02,MTrayArmX,1,1,0,10,1,10,10000,10,2000,-100,165000,1,1,30,1,1,10000,MC88X1,0,1,0.1,0.1,0,,,0,0,7
M03,MEmptyY,1,0.9,0,10,1,10,5000,10,1000,-100,83800,1,1,30,1,1,10000,MC88X1,0,2,0.1,0.1,0,,,0,0,7
M04,MLoaderY_1,1,0.9,0,10,1,10,5000,10,1500,-100,83800,1,1,30,1,1,10000,MC88X1,0,3,0.1,0.1,0,,,0,0,7
M05,MLoaderY_2,0,0.9,1,10,1,10,5000,10,1500,-100,83800,1,1,30,1,1,10000,MC88X1,0,4,0.1,0.1,0,,,0,0,7
M06,MAutoY_1,1,0.9,0,10,1,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,0,5,0.1,0.1,0,,,0,0,7
M07,MAutoY_2,1,0.9,0,10,1,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,0,6,0.1,0.1,0,,,0,0,7
M08,MAutoY_3,1,0.9,0,10,1,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,0,7,0.1,0.1,0,,,0,0,7
M09,MAutoY_4,1,0.9,0,10,1,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,1,0,0.1,0.1,0,,,0,0,7
M10,MAutoY_5,1,0.9,0,10,1,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,1,1,0.1,0.1,0,,,0,0,7
M11,MAutoY_6,1,0.9,0,10,1,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,1,2,0.1,0.1,0,,,0,0,7
M12,MTopCCDX,0,0.04,1,10,1,10,40000,10,1500,-100,15700,1,1,60,1,1,10000,MC88X1,1,3,0.1,0.1,0,,,0,0,90
M13,MBottomCCDY,0,0.1,0,10,1,10,10000,10,450,-10000,10000,1,0,20,1,1,10000,MC88X1,1,4,0.2,0.2,0,,,0,0,7
M14,MSuckZ_1,1,1,1,10,1,10,2000,10,450,-4000,500,1,0,20,1,1,10000,MC88X1,2,0,0.2,0.2,0,,,0,0,7
M15,MSuckZ_2,1,1,1,10,1,10,2000,10,450,-4000,500,1,0,20,1,1,10000,MC88X1,2,1,0.2,0.2,0,,,0,0,7
M16,MSuckZ_3,1,1,1,10,1,10,2000,10,450,-4000,500,1,0,20,1,1,10000,MC88X1,2,2,0.2,0.2,0,,,0,0,7
M17,MSuckZ_4,1,1,1,10,1,10,2000,10,450,-4000,500,1,0,20,1,1,10000,MC88X1,2,3,0.2,0.2,0,,,0,0,7
M18,MPitchX,0,1,0,10,1,10,2000,10,450,-4000,35000,1,0,20,1,1,10000,MC88X1,1,5,0.2,0.2,0,,,0,0,7
M19,MColorY,1,0.9,0,10,1,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,1,6,0.1,0.1,0,,,0,0,7
M20,MTopCCDX_Color,0,0.04,1,10,1,10,40000,10,1500,-100,15700,1,1,60,1,1,10000,MC88X1,1,7,0.1,0.1,0,,,0,0,90
